X(E/m),Y(N/m)
330153.141589749138802,4156679.225709548685700
330153.141589749138802,4156679.225709548685700
330153.150425155530684,4156679.225528832525015
330153.159033610951155,4156679.214252149220556
330153.176704430487007,4156679.213890716433525
330153.212046065134928,4156679.213167848996818
330153.256450061744545,4156679.223360233474523
330153.318524877657183,4156679.233191184233874
330153.389435101998970,4156679.242841416969895
330153.468953779665753,4156679.241214970126748
330153.557534820982255,4156679.250503773801029
330153.654724318068475,4156679.248515896964818
330153.751686862611677,4156679.235432054381818
330153.866320224653464,4156679.221986784134060
330153.990015950053930,4156679.219456761609763
330154.104876262368634,4156679.217107458971441
330154.370392431388609,4156679.233877926133573
330154.502923562657088,4156679.231167197227478
330154.644517056120094,4156679.239371722098440
330154.794719004421495,4156679.236299567390233
330154.935858593089506,4156679.222312164492905
330155.245097900682595,4156679.215987156145275
330155.537347241304815,4156679.243311484809965
330155.688003091025166,4156679.262431276962161
330155.838205038104206,4156679.259359141811728
330155.997469343361445,4156679.267202261369675
330156.156506701023318,4156679.263949418906122
330156.466199903225061,4156679.279816385824233
330156.776120052090846,4156679.306779330596328
330156.908878131420352,4156679.315164605155587
330157.041636208188720,4156679.323549882508814
330157.183002745034173,4156679.320658484008163
330157.324596229474992,4156679.328863054048270
330157.598947791149840,4156679.345452912151814
330157.847247018013149,4156679.384776844643056
330157.962334275362082,4156679.393523559439927
330158.077648481179494,4156679.413366241846234
330158.193189630750567,4156679.444304890464991
330158.300122317625210,4156679.486520217731595
330158.497224654303864,4156679.615696159191430
330158.676883117062971,4156679.756329492200166
330158.767052765004337,4156679.843290107324719
330158.848387003294192,4156679.930431434884667
330158.929948183300439,4156680.028668727260083
330159.002900901774410,4156680.138182697817683
330159.149714112398215,4156680.401594500988722
330159.296073426026851,4156680.642814374528825
330159.386696948204190,4156680.751966927200556
330159.468712004192639,4156680.872396155260503
330159.541664708754979,4156680.981910130474716
330159.597173543414101,4156681.102881488855928
330159.644073912757449,4156681.235129524488002
330159.691201225505210,4156681.378473525866866
330159.811054287943989,4156681.620235536247492
330159.884006982028950,4156681.729749514255673
330159.956732729857322,4156681.828167526517063
330160.038293881458230,4156681.926404829137027
330160.137525842059404,4156682.024280715268105
330160.363176803686656,4156682.252778258174658
330160.623261598462705,4156682.436169111635536
330160.765989742591046,4156682.499853563494980
330160.891047072596848,4156682.563899435568601
330161.016104400507174,4156682.627945309504867
330161.158832535904367,4156682.691629769280553
330161.443834917037748,4156682.796806764323264
330161.745600330992602,4156682.857238492928445
330161.905318439414259,4156682.887273652944714
330162.055747261038050,4156682.895297593902797
330162.206176079926081,4156682.903321537654847
330162.356377959426027,4156682.900249518454075
