X(E/m),Y(N/m)
330228.456571084505413,4156666.540578681509942
330228.465406506147701,4156666.540398045442998
330228.450231034541503,4156666.662814920302480
330228.433921306859702,4156666.729751974809915
330228.390651618363336,4156666.775039010215551
330228.355990495299920,4156666.809049446135759
330228.300482609076425,4156666.688077660743147
330228.246108979219571,4156666.622585695236921
330228.157527931791265,4156666.613296092953533
330228.063514251494780,4156666.770626587793231
330227.968366310466081,4156666.872477263677865
330227.835608169960324,4156666.864090846851468
330227.668415761901997,4156666.900810837745667
330227.493522201490123,4156666.993191287387162
330227.292576095089316,4156667.108305579982698
330227.057195733941626,4156667.268526284024119
330226.866899890010245,4156667.472227660473436
330226.701068622583989,4156667.575523451901972
330226.535237361444160,4156667.678819249384105
330226.288753065222409,4156667.728260975331068
330226.025278498302214,4156667.811351877171546
330225.728050252655521,4156667.972837090026587
330225.421986600384116,4156668.134502954315394
330225.194080583110917,4156668.227967289276421
330224.948730592033826,4156668.332888874690980
330224.703380604623817,4156668.437810467556119
330224.440813505090773,4156668.565285277552903
330224.161256149585824,4156668.726409267634153
330223.978888394311070,4156668.885546219069511
330223.690268785110675,4156669.035754902753979
330223.349997833720408,4156669.253623229451478
330223.036233151447959,4156669.470949646551162
330222.836648320197128,4156669.652639836072922
330222.548482474638149,4156669.825040488969535
330222.251934947678819,4156670.019813723396510
330221.885157825890929,4156670.238224042113870
330221.553495525731705,4156670.444815839640796
330221.239277208340354,4156670.639950399287045
330220.924832045449875,4156670.823989008553326
330220.610386896121781,4156671.008027628064156
330220.304777177399956,4156671.191885615233332
330219.990332055080216,4156671.375924261286855
330219.675433218595572,4156671.537770990282297
330219.290985399857163,4156671.756542719900608
330219.002139102900401,4156671.895655609667301
330218.704457401414402,4156672.034949156455696
330218.415384257677943,4156672.162966104224324
330218.117248842725530,4156672.280067745130509
330217.819340304413345,4156672.408265360165387
330217.512596359185409,4156672.536643634550273
330217.205852422979660,4156672.665021921973675
330216.907943908940069,4156672.793219571001828
330216.610262271598913,4156672.932513196021318
330216.312580643920228,4156673.071806830819696
330216.005836744094267,4156673.200185162480921
330215.699319722654764,4156673.339659470133483
330215.393029580707662,4156673.490229754243046
330215.078130907262675,4156673.652076664380729
330214.771387046144810,4156673.780455043539405
330214.482314020337071,4156673.908472132403404
330214.175570174644236,4156674.036850532982498
330213.859990928438492,4156674.165409597568214
330213.543731074722018,4156674.260680782143027
330213.245368925854564,4156674.366686639375985
330212.946779908728786,4156674.461596541572362
330212.770298547111452,4156674.476305564399809
330212.462874127202667,4156674.571396138519049
330212.164285124978051,4156674.666306070517749
330211.856633843388408,4156674.750300702638924
330211.688987902016379,4156674.764829094056040
330211.372728091955651,4156674.860100363381207
330211.056241412938107,4156674.944275681395084
330210.748817024519667,4156675.039366319309920
330210.432557233900297,4156675.134637625422329
330210.098172874539159,4156675.208078325726092
330209.790521632239688,4156675.292073037475348
330209.491932681761682,4156675.386983068659902
330209.184054570738226,4156675.459881837014109
330208.858505641110241,4156675.533141931984574
330208.550627542077564,4156675.606040725018829
