X(E/m),Y(N/m)
330157.045932654698845,4156679.101449862122536
330157.160566021455452,4156679.088004637509584
330157.293097153597046,4156679.085293953306973
330157.354945016442798,4156679.084028967656195
330157.425628285680432,4156679.082583271432668
330157.575376342516392,4156679.057319237384945
330157.751403679023497,4156679.020417104009539
330157.936039476597216,4156678.972238300368190
330158.112066816131119,4156678.935336175374687
330158.297156512271613,4156678.909349308349192
330158.499690080876462,4156678.871905058622360
330158.605488043278456,4156678.858640565536916
330158.790577739826404,4156678.832653710152954
330158.975667439633980,4156678.806666858494282
330159.169138658791780,4156678.758307371754199
330159.362836824904662,4156678.721043853089213
330159.547699583519716,4156678.683961049653590
330159.741397750389297,4156678.646697540301830
330159.961829092411790,4156678.619987875223160
330160.155527266557328,4156678.582724376115948
330160.340616972302087,4156678.556737556587905
330160.543150556040928,4156678.519293356686831
330160.754292607482057,4156678.470572490245104
330160.930319967039395,4156678.433670427184552
330161.124018146540038,4156678.396406950894743
330161.335387145983987,4156678.358782062772661
330161.546983089181595,4156678.332253145985305
330161.749743624008261,4156678.305904942564666
330161.952277218457311,4156678.268460778519511
330162.172481633257121,4156678.230655206833035
330162.375242171750870,4156678.204307018313557
330162.569394242484123,4156678.189235506113619
330162.675192217226140,4156678.175971062388271
330162.886788167408668,4156678.149442181922495
330162.992813083110377,4156678.147273708600551
330163.195800564950332,4156678.132021503988653
330163.389498756499961,4156678.094758081715554
330163.609703180380166,4156678.056952547747642
330163.724109630449675,4156678.032411447726190
330163.935478647355922,4156677.994786627124995
330164.032441213959828,4156677.981702907010913
330164.138012256356888,4156677.957342516630888
330164.358216686232481,4156677.919537002686411
330164.569812646077480,4156677.893008164595813
330164.763510849908926,4156677.855744774919003
330164.966044464963488,4156677.818300685379654
330165.177186554239597,4156677.769579931627959
330165.361822416190989,4156677.721401294227690
330165.546685214620084,4156677.684318625368178
330165.740383426542394,4156677.647055258508772
330165.934308576048352,4156677.620887861587107
330166.110562906658743,4156677.595081874635071
330166.295425710268319,4156677.557999223005027
330166.488896992173977,4156677.509639908559620
330166.673532866116147,4156677.461461300496012
