X(E/m),Y(N/m)
330191.511486741947010,4156663.632786319591105
330191.669162971316837,4156663.562958379741758
330191.835220824228600,4156663.470757840201259
330192.010341007146053,4156663.389472594950348
330192.185461191053037,4156663.308187352027744
330192.369189905060921,4156663.215625475160778
330192.535020874871407,4156663.112328985705972
330192.701078747864813,4156663.020128464791924
330192.867363521363586,4156662.939023910555989
330193.033421401341911,4156662.846823395229876
330193.182262230431661,4156662.777176159434021
330193.357609338476323,4156662.706986906938255
330193.532502653019037,4156662.614605730865151
330193.698787442059256,4156662.533501194324344
330193.856009913724847,4156662.441481368616223
330194.030903236824088,4156662.349100201390684
330194.206023463164456,4156662.267815004102886
330194.363699736888520,4156662.197987118735909
330194.512767486856319,4156662.139435871504247
330194.687887721927837,4156662.058150683529675
330194.863234854303300,4156661.987961464095861
330195.029519670002628,4156661.906856955494732
330195.195804488961585,4156661.825752449687570
330195.379987055668607,4156661.755382570438087
330195.538117141113617,4156661.707746634725481
330195.687411800259724,4156661.660291374661028
330195.862758950679563,4156661.590102178044617
330196.047395319270436,4156661.541924241930246
330196.222742474987172,4156661.471735052298754
330196.398089631227776,4156661.401545865926892
330196.555992834328208,4156661.342813986819237
330196.749237744137645,4156661.283359432592988
330196.933647227939218,4156661.224085552152246
330197.082715011434630,4156661.165534353815019
330197.285022245603614,4156661.116995107848197
330197.487329486291856,4156661.068455866537988
330197.680801298236474,4156661.020097299013287
330197.839158300950658,4156660.983557373750955
330198.006350731418934,4156660.946836784947664
330198.200276334362570,4156660.920670157764107
330198.341189377126284,4156660.895587543025613
330198.499773273593746,4156660.870143594220281
330198.675801135017537,4156660.833242348860949
330198.869726741977502,4156660.807075739372522
330199.063425459200516,4156660.769813169259578
330199.239453322428744,4156660.732911936473101
330199.415708079352044,4156660.707106672227383
330199.610087470326107,4156660.703132007736713
330199.786569118266925,4156660.688422716688365
330199.963277653791010,4156660.684809392318130
330200.140213080681860,4156660.692292036488652
330200.308313080342487,4156660.699955350253731
330200.485021615226287,4156660.696342037525028
330200.643832410511095,4156660.681994094513357
330200.812159297638573,4156660.700753382872790
330200.989548496203497,4156660.730427972972393
330201.131142213707790,4156660.738633298315108
330201.291087444522418,4156660.779765189625323
330201.450805788452271,4156660.809801119379699
330201.602142476709560,4156660.862209644168615
330201.753706052317284,4156660.925714137032628
330201.931549015163910,4156660.977580677717924
330202.083339470147621,4156661.052181139122695
330202.226067612064071,4156661.115866304375231
330202.368795749440324,4156661.179551471024752
330202.511977656628005,4156661.265428571496159
330202.664448760449886,4156661.373316935729235
330202.790413581009489,4156661.481747294310480
330202.925213826005347,4156661.589996989350766
330203.068849490780849,4156661.698066025972366
330203.194814301037695,4156661.806496389210224
330203.321232878020965,4156661.937118683010340
330203.420918291085400,4156662.057187000755221
330203.556626057368703,4156662.209820564370602
330203.691653162939474,4156662.329166238196194
330203.809236297500320,4156662.459969199728221
330203.917757121962495,4156662.579856861848384
330204.035567138111219,4156662.721755792852491
330204.153377148089930,4156662.863654723856598
330204.270960270368960,4156662.994457693304867
330204.371099424897693,4156663.136717950925231
330204.480300883413292,4156663.289893512614071
330204.580440030898899,4156663.432153771631420
330204.662908328464255,4156663.574775355868042
330204.772109776269644,4156663.727950921282172
330204.863640373921953,4156663.881487809121609
330204.954490317264572,4156664.001736807636917
330205.037412368925288,4156664.166550321504474
330205.128942957380787,4156664.320087214466184
330205.211865002813283,4156664.484900730196387
330205.285951620724518,4156664.649894909467548
330205.359584473073483,4156664.792697160039097
330205.451568814110942,4156664.968425982631743
330205.551934808667284,4156665.121782218106091
330205.643465375876985,4156665.275319114327431
330205.726160520629492,4156665.429036670830101
330205.800020241411403,4156665.582934889942408
330205.882942262396682,4156665.747748412657529
330205.965637398650870,4156665.901465971954167
330206.048559413640760,4156666.066279496997595
330206.122646002797410,4156666.231273683719337
330206.196732591488399,4156666.396267869044095
330206.270365414558910,4156666.539070126600564
330206.344225114386063,4156666.692968349438161
330206.427147114998661,4156666.857781876809895
330206.501233690534718,4156667.022776065859944
330206.566484846116509,4156667.187950913328677
330206.648953076102771,4156667.330572515726089
330206.740710484271403,4156667.495205386541784
330206.805734748952091,4156667.649284272920340
330206.879594432597514,4156667.803182500880212
330206.926720977062359,4156667.946526740677655
330206.991745235281996,4156668.100605627521873
330207.039098656969145,4156668.255045832600445
330207.068554358032998,4156668.398751391097903
330207.116134655079804,4156668.564287560526282
330207.146497875684872,4156668.752376977354288
330207.194305052224081,4156668.929009111598134
330207.232823046797421,4156669.083629976026714
330207.244834788260050,4156669.238792816642672
330207.275198006827850,4156669.426882233936340
330207.269992671965156,4156669.604598319157958
330207.273168996092863,4156669.759941820520908
330207.267963666468859,4156669.937657906208187
330207.262985213310458,4156670.126469957642257
330207.248944466351531,4156670.304366703610867
330207.225614543538541,4156670.460252180229872
330207.202738382678945,4156670.638329584617168
330207.171026805299334,4156670.816587647423148
330207.121644400875084,4156670.995207028463483
330207.072261996741872,4156671.173826411832124
330207.040323546505533,4156671.340988511685282
330207.017447391233873,4156671.519065917935222
330206.976673529366963,4156671.686408676672727
330206.944508202897850,4156671.842474813107401
330206.894898927886970,4156672.009998232126236
330206.819010293576866,4156672.189159594476223
330206.751503316743765,4156672.345948368310928
330206.684223221731372,4156672.513833109289408
330206.617170010984410,4156672.692813812289387
