X(E/m),Y(N/m)
330191.852864290296566,4156662.604549914132804
330191.827038716699462,4156662.638379832729697
330191.810502369073220,4156662.694221003912389
330191.776522070402279,4156662.761519490741193
330191.742541774525307,4156662.828817976173013
330191.717850705026649,4156662.918127717450261
330191.676169486716390,4156663.041086700744927
330191.634261371335015,4156663.152949720155448
330191.592353257234208,4156663.264812740962952
330191.523938869708218,4156663.377217786852270
330191.438307438162155,4156663.512176112737507
330191.352449110650923,4156663.636038473341614
330191.266590781277046,4156663.759900836739689
330191.181186261761468,4156663.905955131165683
330191.086946319788694,4156664.052190101705492
330191.018758847727440,4156664.175691117066890
330190.932900531566702,4156664.299553482793272
330190.838206797314342,4156664.423596528358757
330190.743739965721034,4156664.558735538739711
330190.649046232807450,4156664.682778583839536
330190.554125605151057,4156664.795725668314844
330190.451050262548961,4156664.942141322419047
330190.356583443470299,4156665.077280336990952
330190.262116627651267,4156665.212419353425503
330190.167649814917240,4156665.347558369394392
330190.055285258567892,4156665.471962776966393
330189.943147608777508,4156665.607463152147830
330189.831009962712415,4156665.742963526863605
330189.709809993277304,4156665.867548617534339
330189.579547704546712,4156665.981218420900404
330189.449739227129612,4156666.117080158088356
330189.328993076924235,4156666.263857182115316
330189.216628548107110,4156666.388261601794511
330189.095201693126000,4156666.501750736963004
330188.956557811354287,4156666.637793158646673
330188.817233219742775,4156666.740547689609230
330188.686970957147423,4156666.854217508807778
330188.565997926343698,4156666.989898582454771
330188.436189481639303,4156667.125760334078223
330188.306381041184068,4156667.261622089426965
330188.184954211523291,4156667.375111239496619
330188.045856547774747,4156667.488961748313159
330187.906985793670174,4156667.613908224273473
330187.758598903426901,4156667.705747487954795
330187.628336670401040,4156667.819417325779796
330187.489465928229038,4156667.944363810122013
330187.350368281186093,4156668.058214331045747
330187.220559873268940,4156668.194076104555279
330187.090297655318864,4156668.307745950762182
330186.933982996677514,4156668.444149769376963
330186.786503764218651,4156668.580372910015285
330186.638570721086580,4156668.694404125679284
330186.499473098199815,4156668.808254661504179
330186.343158461037092,4156668.944658492226154
330186.213123172987252,4156669.069424317684025
330186.082860982627608,4156669.183094182051718
330185.952598795760423,4156669.296764046885073
330185.822336612502113,4156669.410433914978057
330185.674630504101515,4156669.535561111290008
330185.535306001431309,4156669.638315701857209
330185.405270738760009,4156669.763081540819257
330185.257791552576236,4156669.899304710794240
330185.110085461346898,4156670.024431920144707
330184.988431810401380,4156670.126825152896345
330184.858169651124626,4156670.240495037287474
330184.719072080682963,4156670.354345605708659
330184.580201424774714,4156670.479292142670602
330184.449712365691084,4156670.581866067834198
330184.328285639756359,4156670.695355277042836
330184.198477323050611,4156670.831217101775110
330184.068442096933722,4156670.955982963554561
330183.938633788668085,4156671.091844792477787
330183.817207077285275,4156671.205334008671343
330183.678336446988396,4156671.330280563328415
330183.530857319477946,4156671.466503765899688
330183.400595203391276,4156671.580173674039543
330183.270106178475544,4156671.682747618295252
330183.140297894831747,4156671.818609460256994
330183.001200372120366,4156671.932460060343146
330182.879773685883265,4156672.045949292369187
330182.740449257311411,4156672.148703932762146
330182.601578661298845,4156672.273650503717363
330182.453418827324640,4156672.376585833262652
330182.322702910401858,4156672.468063829466701
330182.192440826562233,4156672.581733758561313
