X(E/m),Y(N/m),direction
330178.366483460471500,4156679.564552646130323,0
330178.297161719878204,4156679.632573954761028,0
330178.219004571088590,4156679.700775953941047,0
330178.149682830611710,4156679.768797263968736,0
330178.080134173564147,4156679.825722608715296,0
330178.028256329242140,4156679.882286574225873,0
330177.976151567709167,4156679.927754574920982,0
330177.924273724784143,4156679.984318540897220,0
330177.854951989196707,4156680.052339853718877,0
330177.716308523667976,4156680.188382480293512,0
330177.595108955050819,4156680.312967762351036,0
330177.543004196486436,4156680.358435767237097,0
330177.482290955027565,4156680.415180427487940,0
330177.343420578399673,4156680.540127094369382,0
330177.282934260787442,4156680.607967721298337,0
330177.152445456129499,4156680.710541772190481,0
330177.039627466816455,4156680.812754441518337,0
330176.918200993794017,4156680.926243769470602,0
330176.796774526359513,4156681.039733102079481,0
330176.745123620494269,4156681.107393040321767,0
330176.650203377357684,4156681.220340298023075,0
330176.537612321204506,4156681.333648940548301,0
330176.416185865062289,4156681.447138276882470,0
330176.277088601491414,4156681.560988999903202,0
330176.207539970113430,4156681.617914361413568,0
330176.094722004956566,4156681.720127045176923,0
330175.973295560455881,4156681.833616389427334,0
330175.834425230394118,4156681.958563083782792,0
330175.713225718704052,4156682.083148397039622,0
330175.609470094088465,4156682.196276360191405,0
330175.488043661054689,4156682.309765710495412,0
330175.358008753042668,4156682.434531722217798,0
330175.227520000888035,4156682.537105804774910,0
330175.166579864919186,4156682.582754517905414,0
330175.106093578040600,4156682.650595160666853,0
330174.993956413702108,4156682.786095756571740,0
330174.864148445194587,4156682.921957740094513,0
330174.743175884825177,4156683.057639033533633,0
330174.639647210889962,4156683.181862975005060,0
330174.587769411446061,4156683.238426965195686,0
330174.449126053368673,4156683.374469649512321,0
330174.319318103312980,4156683.510331642348319,0
330174.249769501679111,4156683.567257023882121,0
330174.146013916120864,4156683.680385006591678,0
330174.024814453092404,4156683.804970345459878,0
330173.886171111662406,4156683.941013041418046,0
330173.782642461883370,4156684.065236994065344,0
330173.678659962839447,4156684.167269018013030,0
330173.618173702270724,4156684.235109674278647,0
330173.497201181948185,4156684.370790985412896,0
330173.418817190860864,4156684.427897069603205,0
330173.297163896262646,4156684.530290489550680,0
330173.184799860813655,4156684.654695147182792,0
330173.054765022476204,4156684.779461195692420,0
330172.924730190308765,4156684.904227249324322,0
330172.821201567363460,4156685.028451215475798,0
330172.769323794404045,4156685.085015215910971,0
330172.708610618254170,4156685.141759912017733,0
330172.656959774554707,4156685.209419880993664,0
330172.587638126453385,4156685.277441239450127,0
330172.527151880785823,4156685.345281903631985,0
330172.457603309187107,4156685.402207300066948,0
330172.397117065615021,4156685.470047965645790,0
330172.336630825302564,4156685.537888631224632,0
330172.215885271492880,4156685.684665929060429,0
330172.103521268290933,4156685.809070602990687,0
330171.982775724958628,4156685.955847903620452,0
330171.888082530349493,4156686.079891186207533,0
330171.845267100026831,4156686.147370461840183,0
330171.733356964541599,4156686.293967070989311,0
